source,title,decision,reason
"DictaToOtzaria","גליוני השס על ירושלמי חגיגה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי מועד קטן","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי מכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי נדרים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי נזיר","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי סוטה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי שבועות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי שקלים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על מועד קטן","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על מכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על נדרים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על נזיר","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על סוטה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על עדיות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על שבועות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","דעת תורה על שולחן ערוך יוד חלק א","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","המקנה על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי המהריט על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי המהריט על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי המהריט על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרימ על שולחן ערוך אבן העזר","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרימ על שולחן ערוך חושן משפט חלק א","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרימ על שולחן ערוך חושן משפט חלק ב","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן (מיוחס לו) על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן על מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי הרן על שבת [מיוחס להריטבא]","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חידושי מהראל על שחיטה וטריפות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","חמדת שלמה על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","כפות תמרים על סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","לבוש מרדכי על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","לבוש מרדכי על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","לבוש מרדכי על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","לבוש מרדכי על מנחות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","לבוש מרדכי על מעילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","מהרם חלאווה על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","מטה יהונתן על שולחן ערוך אורח חיים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","נחלת דוד על בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","נחלת דוד על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","נחלת דוד על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","פורת יוסף על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","פורת יוסף על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","פורת יוסף על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על הוריות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על מועד קטן","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על מנחות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על מעילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על נדרים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על נזיר","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על סוטה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן אורה על תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על חגיגה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על חולין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על נדה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","קרן לדוד על תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","ראש יוסף על ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","ראש יוסף על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","ראש יוסף על חולין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","ראש יוסף על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","ריטבא על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על בכורות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על כריתות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על מנחות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על מעילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על ערכין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","שפת אמת על תמורה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תוספות רבינו יהודה החסיד על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על חולין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תורת חיים על שבועות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","תפארת יעקב על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אבן העוזר על ברכות","include","Terra corpus audit: direct Talmud commentary with valid dibbur formatting"
"DictaToOtzaria","אבן העוזר על שבת","include","Terra corpus audit: direct Talmud commentary with valid dibbur formatting"
"DictaToOtzaria","אבני מילואים","include","Terra corpus audit: canonical Even HaEzer commentary with sustained lemmata"
"DictaToOtzaria","אור הישר (זרעים)","include","Terra corpus audit: sustained source-anchored commentary"
"DictaToOtzaria","אור הישר (טהרות)","include","Terra corpus audit: sustained source-anchored commentary"
"DictaToOtzaria","אור הישר (ירושלמי)","include","Terra corpus audit: sustained source-anchored commentary"
"DictaToOtzaria","אור הישר (תנך)","include","Terra corpus audit: sustained source-anchored commentary"
"DictaToOtzaria","אור הישר על בכורות","include","Terra corpus audit: sustained source-anchored commentary"
"DictaToOtzaria","באר היטב (על התורה)","include","Terra corpus audit: Torah commentary with verse lemmata"
"DictaToOtzaria","ברית שלום על הגדה של פסח","include","Terra corpus audit: Haggadah commentary with direct lemmata"
"DictaToOtzaria","ברית שלום על חמשה מגילות","include","Terra corpus audit: Megillot commentary with direct lemmata"
"DictaToOtzaria","דבש תמר - ב (פירוש המשניות להרמבם)","include","Terra corpus audit: explicit Mishnah and Rambam commentary"
"DictaToOtzaria","דברי דוד ברכות","include","Terra corpus audit: tractate commentary with direct lemmata"
"DictaToOtzaria","דברי דוד פסחים","include","Terra corpus audit: tractate commentary with direct lemmata"
"DictaToOtzaria","חידושי מהראל על השס","include","Terra corpus audit: explicit Shas commentary with Tosafot lemmata"
"DictaToOtzaria","ישמח משה על טור ושולחן ערוך","include","Terra corpus audit: explicit Tur and Shulchan Aruch commentary"
"DictaToOtzaria","ישמח משה על נך","include","Terra corpus audit: sustained Tanakh commentary"
"DictaToOtzaria","כפי אהרן על טור אורח חיים","include","Terra corpus audit: explicit Tur Orach Chaim commentary"
"DictaToOtzaria","כתבי קודש על השולחן ערוך","include","Terra corpus audit: explicit Shulchan Aruch commentary"
"DictaToOtzaria","לבוש מרדכי בבא מציעא","include","Terra corpus audit: tractate commentary from an audited series"
"DictaToOtzaria","ליקוטי מהריל על התורה","include","Terra corpus audit: Torah commentary with verse lemmata"
"DictaToOtzaria","ליקוטי מהריל על כתובות","include","Terra corpus audit: tractate commentary with Mishnah lemmata"
"DictaToOtzaria","משובב נתיבות על שולחן ערוך חושן משפט","include","Terra corpus audit: explicit Choshen Mishpat commentary"
"DictaToOtzaria","משנה אחרונה","include","Terra corpus audit: sustained Mishnah lemma and commentary structure"
"DictaToOtzaria","סדרי טהרה","include","Terra corpus audit: sustained halakhic source lemmata"
"DictaToOtzaria","פתח הבית על משנה תורה הלכות חגיגה","include","Terra corpus audit: explicit Mishneh Torah commentary"
"DictaToOtzaria","פתח הבית על משנה תורה הלכות עבודת יום הכיפורים","include","Terra corpus audit: explicit Mishneh Torah commentary"
"DictaToOtzaria","פתח הבית על משנה תורה הלכות קרבן פסח","include","Terra corpus audit: explicit Mishneh Torah commentary"
"DictaToOtzaria","פתח הבית על משנה תורה הלכות תמידין ומוספין","include","Terra corpus audit: explicit Mishneh Torah commentary"
"DictaToOtzaria","פעמוני זהב","include","Terra corpus audit: sustained Shulchan Aruch commentary"
"DictaToOtzaria","פנים יפות בראשית","include","Terra corpus audit: Torah commentary with verse lemmata"
"DictaToOtzaria","שקל הקדש על ירושלמי שקלים","include","Terra corpus audit: explicit Yerushalmi commentary"
"DictaToOtzaria","תורת נתנאל על התורה","include","Terra corpus audit: sustained Torah verse exposition"
"MoreBooks","איזהו מקומן על זבחים","include","Terra corpus audit: genuine classical commentary with valid dibbur formatting"
"MoreBooks","השמטות הריטבא על יבמות","include","Terra corpus audit: genuine classical commentary with valid dibbur formatting"
